time_s,load_fraction,rpm,boiler_pressure_bar,electrical_kW,boiler_duty_kW,cycle_efficiency_pct,vibration_mm_s,bearing_temp_C,fault_label
0.0,0.83,2991.9,15.011,62.2,391.4,15.9,1.926,63.45,normal
1.0,0.7376,2991.0,14.996,62.2,391.4,15.9,1.572,63.33,normal
2.0,0.6892,2980.2,14.951,62.2,391.4,15.9,1.327,61.13,normal
3.0,0.664,2975.1,14.938,62.2,391.4,15.9,1.462,61.18,normal
4.0,0.6716,2975.7,14.911,62.2,391.4,15.9,1.389,61.94,normal
5.0,0.6619,2970.9,14.913,49.6,312.2,15.9,1.507,62.06,normal
6.0,0.6499,2978.3,14.879,49.6,312.2,15.9,1.431,62.86,normal
7.0,0.6378,2971.7,14.769,49.6,312.2,15.9,1.383,62.26,normal
8.0,0.6513,2971.3,14.851,49.6,312.2,15.9,1.546,61.03,normal
9.0,0.6434,2968.5,14.899,49.6,312.2,15.9,1.638,60.74,normal
10.0,0.65,2968.5,14.804,48.7,306.5,15.9,1.682,63.02,normal
11.0,0.6593,2967.3,14.815,48.7,306.5,15.9,1.645,63.05,normal
12.0,0.6499,2968.7,14.767,48.7,306.5,15.9,1.411,62.85,normal
13.0,0.6635,2969.5,14.867,48.7,306.5,15.9,1.652,61.79,normal
14.0,0.6604,2974.1,14.809,48.7,306.5,15.9,1.831,60.19,normal
15.0,0.6634,2970.0,14.791,49.8,312.9,15.9,1.612,60.72,normal
16.0,0.6545,2970.4,14.874,49.8,312.9,15.9,1.515,61.59,normal
17.0,0.6472,2971.6,14.81,49.8,312.9,15.9,1.509,62.59,normal
18.0,0.6496,2971.7,14.754,49.8,312.9,15.9,1.541,61.88,normal
19.0,0.6352,2969.0,14.796,49.8,312.9,15.9,1.582,61.89,normal
20.0,0.6284,2966.2,14.76,47.1,296.4,15.9,1.457,61.9,normal
21.0,0.6433,2973.7,14.784,47.1,296.4,15.9,1.625,62.09,normal
22.0,0.6274,2967.1,14.772,47.1,296.4,15.9,1.946,61.87,normal
23.0,0.6417,2967.6,14.709,47.1,296.4,15.9,1.756,62.74,normal
24.0,0.6538,2965.5,14.835,47.1,296.4,15.9,1.382,62.7,normal
25.0,0.6738,2966.3,14.738,50.5,317.8,15.9,1.619,61.99,normal
26.0,0.6464,2968.6,14.709,50.5,317.8,15.9,1.659,61.44,normal
27.0,0.6637,2966.8,14.745,50.5,317.8,15.9,1.72,61.32,normal
28.0,0.6591,2973.0,14.68,50.5,317.8,15.9,1.623,62.48,normal
29.0,0.6624,2965.6,14.693,50.5,317.8,15.9,1.676,62.54,normal
30.0,0.6587,2970.2,14.723,49.4,310.6,15.9,1.63,62.5,normal
31.0,0.6472,2974.3,14.779,49.4,310.6,15.9,1.41,62.7,normal
32.0,0.6389,2970.6,14.81,49.4,310.6,15.9,1.46,62.88,normal
33.0,0.6486,2971.0,14.846,49.4,310.6,15.9,1.552,61.59,normal
34.0,0.6404,2965.7,14.745,49.4,310.6,15.9,1.635,62.34,normal
35.0,0.6535,2968.6,14.822,49.0,308.2,15.9,1.552,64.4,normal
36.0,0.658,2966.2,14.695,49.0,308.2,15.9,1.667,62.09,normal
37.0,0.6611,2970.5,14.745,49.0,308.2,15.9,1.47,61.08,normal
38.0,0.6511,2971.3,14.758,49.0,308.2,15.9,1.404,62.35,normal
